#Pressure	radius	err	stiffness	err
0	1	0	1	0
0.2	1.002816969	0.000383235	1.027337503	0.004188356
0.4	1.00649918	2.12464E-05	1.048390086	0.004636112
0.6	1.009964094	0.000725688	1.068328243	0.004831728
0.8	1.015162884	0.001962732	1.083554392	0.004848613
1	1.019062392	0.001957542	1.092009391	0.001693381
1.2	1.027303315	0.003523092	1.100377064	0.003028297
1.4	1.035530164	0.000847733	1.097356547	0.009187353
1.6	1.044194999	0.003456469	1.092487717	0.012788485
1.8	1.055457798	0.001912527	1.073259723	0.016234957
2	1.072795313	0.002467577	1.050702073	0.02727628
2.2	1.09577184	0.005247217	1.02082951	0.032583061
2.4	1.125912968	0.0065030253	0.98803931	0.041364139
