#Pressure	radius	err	stiffness	err
0.00	1	0	1	0
0.25	1.002864029	0.000699757	1.016970024	0.005217143
0.50	1.005319561	0.001863229	1.032736768	0.006348146
0.75	1.00818409	0.001392689	1.041170599	0.01118356
1.00	1.011457116	0.001368837	1.048668457	0.011903722
1.25	1.013913148	0.001357498	1.05663156	0.012806715
1.50	1.018884653	0.001902258	1.052454477	0.015916317
1.75	1.02579589	0.003337729	1.049470269	0.012927275
2.00	1.033572483	0.003636847	1.050278247	0.014187235
2.25	1.043674651	0.003051356	1.049251174	0.009270969
2.50	1.057461874	0.004109983	0.999266335	0.015916365
2.75	1.089391785	0.004930544	0.988104415	0.014388615
